model,metric,groups,ci95_low,ci95_high,bootstrap_mean,resamples
MST-only,mae_log,57,0.12512033283536045,0.16246624423614414,0.141743835582632,10000
MST-only,rmse_log,57,0.17167112604093548,0.2652080645827798,0.21499890567556826,10000
MST-only,r2_log,57,0.9428261284302122,0.9809400914837375,0.9654398239267643,10000
CatBoost residual + relational,mae_log,57,0.10963242779772699,0.143165786327136,0.12498645360040068,10000
CatBoost residual + relational,rmse_log,57,0.15845049254686136,0.2210279246278936,0.1879829892120922,10000
CatBoost residual + relational,r2_log,57,0.9592255319948182,0.984398580314109,0.9736696310538837,10000
