model,mean_board_spearman,mean_top5_cost_capture,mean_top5_overlap,mean_ndcg5,ranking_boards,mae_log,rmse_log,r2_log
MST-only,0.9240179379260456,0.9809876927692095,0.8428571428571427,0.9807474695720548,154,0.1416659671644751,0.21622156822761096,0.9668090356325736
CatBoost residual + relational,0.9281897207437653,0.9806100517722622,0.8454545454545453,0.9811956742416723,154,0.12468492613978792,0.18818855086951375,0.9748575125917249
