model,metric,groups,ci95_low,ci95_high,bootstrap_group_mean,resamples
MST-only,spearman,56,0.8901800420156438,0.9519384423172109,0.9257298145915989,10000
MST-only,top5_cost_capture,56,0.9632234382423409,0.9880516558683273,0.9779118555968381,10000
MST-only,top5_overlap,56,0.8145833333333333,0.8744047619047619,0.8453787261904762,10000
MST-only,ndcg5,56,0.9639223947209572,0.986715516901791,0.9765771854016515,10000
CatBoost residual + relational,spearman,56,0.90251290553408,0.9545440690427167,0.9317580478082191,10000
CatBoost residual + relational,top5_cost_capture,56,0.963582888721936,0.9885412341790847,0.9782403500142441,10000
CatBoost residual + relational,top5_overlap,56,0.815952380952381,0.882202380952381,0.8494234285714287,10000
CatBoost residual + relational,ndcg5,56,0.9648597704560361,0.9872452529134047,0.9774259927344757,10000
