model,board,final_group_id,candidate_nets,spearman,top5_cost_capture,top5_overlap,ndcg5
MST-only,SPEX_HAB_Mainboard_Hardware__autosave-Power,FG0279,68,0.9824882858053767,1.0,1.0,0.9965152116195809
MST-only,SPEX_HAB_Mainboard_Hardware__autosave-Spex-Mainboard-Hardware,FG0279,89,0.991879330741809,0.9790539256209398,0.8,0.9882796055012001
MST-only,Teensy-3.5-Breakout-Boaard_PropShield_Uno,FG0308,23,0.9616623968251131,0.9999999999999999,1.0,0.982988589038387
MST-only,Teensy-3.5-Breakout-Boaard_Teensy35Mega,FG0308,82,0.938527846629041,0.983543940391421,0.8,0.9872560882246295
MST-only,Teensy-3.5-Breakout-Boaard_TeensyMegaIoShield,FG0308,78,0.9690046429558227,1.0,1.0,0.9999999999999998
MST-only,TinyTracker_ub-minimal,FG0314,42,0.9515436350376795,0.997048644654956,0.8,0.9985590266639806
MST-only,ToslinkCNC_Toslink PlanetCNC ECO shield,FG0315,16,0.8756440928365745,0.9818471789102926,0.8,0.9694413299891296
MST-only,ToslinkCNC__autosave-ToslinkCNC_OneAxis,FG0315,39,0.9696356275303644,0.9697780027907802,0.6,0.9830076993468623
MST-only,ToslinkCNC_toslink_arduino_shield,FG0315,24,0.9652173913043477,0.9645472230696388,0.8,0.9700182673354357
MST-only,arduino_arduino leds,FG0353,23,0.9268774703557312,0.6777873060935382,0.4,0.756741548364425
MST-only,board_armjtag_pmod_compatible_armjtag-pmod,FG0381,9,0.9623515200690814,0.9988528929507753,0.8,0.9992366692813043
MST-only,constant-current-h-bridge_constant_current_source,FG0403,39,0.9851713155994576,0.9835637990969273,0.6,0.9852424611496804
MST-only,digital_clock_led_clock_3_and_4_digit,FG0414,81,0.9863706682050272,0.9715906771956815,0.8,0.9818623413635555
MST-only,digital_clock_led_clock_v1,FG0414,75,0.9884135288443952,0.9723884758903414,0.8,0.9796237820327506
MST-only,elec-power-bms_OSBMS Balancer Rev1,FG0428,63,0.9776598044632346,0.972115288694324,0.8,0.9803886266146887
MST-only,elec-power-bms_rLoopPowerBms,FG0428,67,0.9607435953754917,0.947061906392062,0.8,0.9674258827787527
MST-only,hardware-designs_c-trigger,FG0482,7,0.9910312089651149,1.0,1.0,1.0
MST-only,hardware-designs_cc430-debug-board,FG0482,33,0.9525401069518716,0.9846441175676713,0.8,0.9908735759005733
MST-only,hardware-designs_energy-harvester,FG0482,14,0.8857142857142857,0.9916655079630643,0.8,0.9943424793272897
MST-only,hardware-designs_nixie-combo,FG0482,67,0.9053049581514607,1.0,1.0,1.0
MST-only,hardware-designs_nixie-power,FG0482,10,0.9878787878787878,1.0,1.0,0.9999999999999999
MST-only,hardware-designs_soil-moisture-sensor,FG0482,11,1.0,1.0,1.0,1.0
MST-only,hardware-designs_solar-harvester,FG0482,9,0.9707197941566387,1.0,1.0,1.0000000000000002
MST-only,hardware-designs_spirit1-board,FG0482,21,0.9922027290448343,1.0,1.0,1.0
MST-only,hardware-designs_spsgrf-board,FG0482,8,0.14285714285714288,0.9169769203410926,0.8,0.9099656303581058
MST-only,hw_trials_demo,FG0488,36,0.9894439050912324,1.0,1.0,0.9999999999999999
MST-only,jadonk_PocketBone,FG0246,74,0.9620288781932617,0.9890686450606668,0.8,0.9945037129290215
MST-only,kitspace_12_24_boost_converter,FG0516,10,0.9757575757575757,0.997838118523676,0.8,0.9978218693983889
MST-only,kitspace_4_switch_array,FG0516,14,0.9516483516483516,0.9860250190130597,0.6,0.991863746274561
MST-only,kitspace_8_switch_array,FG0516,31,0.9722698446123184,0.9705424355242179,0.8,0.9830306368609655
MST-only,kitspace_CocoMixtape_UGM_Kicad,FG0527,14,0.9692307692307693,0.9714500204574453,0.8,0.9842229763493145
MST-only,kitspace_Lcr_addon,FG0536,20,0.9003385367808272,0.9902173279325178,0.8,0.9947886810889102
MST-only,kitspace_Spikeling_ESP32,FG0546,34,0.8264323911382734,0.961881756934073,0.6,0.9737562377719478
MST-only,kitspace_Spikeling_V2.1,FG0546,41,0.8867110945298469,0.9845928120346424,0.8,0.9911303396684591
MST-only,kitspace_Spikeling_V2.2,FG0546,41,0.9063112513496931,0.9874851623522156,0.8,0.992164666913863
MST-only,kitspace_Spikeling_V2.2c,FG0546,41,0.9192909107548357,1.0,1.0,0.997602619075122
MST-only,kitspace_antenna_analyser,FG0555,31,0.9704368932456431,1.0,1.0,0.9866017171326176
MST-only,kitspace_beehive,FG0516,33,0.9953208556149733,0.989623073502472,0.8,0.9938224574978802
MST-only,kitspace_d20_tri_r0.2,FG0560,92,0.8082394463881141,0.9473319280070303,0.8,0.9684074818043622
MST-only,kitspace_d20_tri_r0.3,FG0560,92,0.8084706317525392,0.9842538827769859,0.8,0.9894389350756759
MST-only,kitspace_d20_tri_r1.0,FG0560,92,0.8084706317525392,0.9842538827769858,0.8,0.9894389350756759
MST-only,kitspace_flypi_v2,FG0516,34,0.9660809778456838,0.9981481032903827,0.8,0.9990313964556821
MST-only,kitspace_gas_sensor,FG0516,7,1.0,1.0,1.0,1.0
MST-only,kitspace_hbridge_driver,FG0516,17,0.985294117647059,0.9920948152422985,0.8,0.9957957919453442
MST-only,kitspace_hp_led_switch,FG0516,18,0.9374348279457767,1.0,1.0,0.9990193536577308
MST-only,kitspace_led_driver,FG0536,14,0.9736263736263736,0.9933665012942188,0.8,0.9918343796297164
MST-only,kitspace_level_shifter,FG0516,11,0.9454545454545454,0.998807412232615,0.8,0.9993084683985193
MST-only,kitspace_peltier,FG0516,18,0.9793601651186791,0.9965696572604933,0.8,0.9981661108998068
MST-only,kitspace_piezo_amplifier,FG0516,27,0.974969474969475,0.9864432802940347,0.6,0.9915540230195808
MST-only,kitspace_power_supply,FG0516,5,0.9999999999999999,1.0,1.0,0.9999999999999998
MST-only,kitspace_solenoid_driver,FG0516,10,0.9757575757575757,1.0,1.0,1.0
MST-only,kitspace_sop8breakout,FG0555,8,0.8193365776101958,0.9966534252664504,0.8,0.9951654839310796
MST-only,kitspace_ss_relay,FG0536,23,0.9476284584980237,0.9878621273155023,0.8,0.9928006981283337
MST-only,kitspace_tomu,FG0585,20,0.9834586466165413,0.9691104208263654,0.8,0.8979177249876759
MST-only,kitspace_training_board,FG0516,58,0.9911253980900696,0.996490869852306,0.8,0.9973569263038601
