policy,boards,target_routability,target_success,target_clean_success,full_drc_errors,action_failure_count,wirelength_mm,via_count,elapsed_seconds
mst_easy_first,24,0.20072032436162868,0.041666666666666664,0.041666666666666664,9.666666666666666,11.0,602.8855961526964,14.541666666666666,2.7281471483747737
mst_hard_first,24,0.20865683229813667,0.08333333333333333,0.08333333333333333,9.625,10.958333333333334,607.0682596851065,14.541666666666666,2.866196590333478
natural,24,0.19576000690131123,0.041666666666666664,0.041666666666666664,9.708333333333334,11.041666666666666,604.5359115244447,14.541666666666666,2.988273690125046
